Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029970033,0.49638236,0.1836734693877551,0.1836734693877551,18.836734693877553
2000,1.4189383,0.00029910033,0.48573056,0.2962962962962963,0.2962962962962963,16.90740740740741
3000,1.4189383,0.00029850032,0.55999386,0.22916666666666666,0.22916666666666666,20.458333333333332
4000,1.4189383,0.00029790032,0.53853166,0.2692307692307692,0.2692307692307692,18.23076923076923
5000,1.4189383,0.0002973003,0.5416568,0.22916666666666666,0.22916666666666666,19.645833333333332
6000,1.4189383,0.0002967003,0.36547038,0.15217391304347827,0.15217391304347827,20.782608695652176
7000,1.4189383,0.0002961003,0.6447742,0.21052631578947367,0.21052631578947367,16.350877192982455
8000,1.4189383,0.00029550033,0.46878424,0.14893617021276595,0.14893617021276595,20.29787234042553
9000,1.4189383,0.0002949003,0.43276957,0.34615384615384615,0.34615384615384615,18.192307692307693
10000,1.4189383,0.00029430032,0.3085294,0.1875,0.1875,19.604166666666668
11000,1.4190075,0.00029370034,0.57397175,0.15,0.15,24.025
12000,1.4194127,0.0002931003,0.49279755,0.3,0.3,18.66
13000,1.4194127,0.0002925003,0.4869619,0.2391304347826087,0.2391304347826087,20.32608695652174
14000,1.4194127,0.00029190033,0.3991606,0.2653061224489796,0.2653061224489796,19.448979591836736
15000,1.4194127,0.00029130033,0.3966358,0.22916666666666666,0.22916666666666666,19.916666666666668
16000,1.4194127,0.00029070032,0.38894543,0.20833333333333334,0.20833333333333334,19.833333333333332
17000,1.4194127,0.00029010035,0.42194188,0.23404255319148937,0.23404255319148937,20.106382978723403
18000,1.4194127,0.0002895003,0.48663577,0.2916666666666667,0.2916666666666667,19.729166666666668
19000,1.4194127,0.0002889003,0.5046053,0.18604651162790697,0.18604651162790697,22.046511627906977
20000,1.4194127,0.00028830033,0.39175877,0.1875,0.1875,19.708333333333332
21000,1.4194127,0.0002877003,0.500798,0.3620689655172414,0.3620689655172414,16.20689655172414
22000,1.4196416,0.00028710035,0.35028473,0.32075471698113206,0.32075471698113206,17.471698113207548
23000,1.4201834,0.00028650035,0.32911325,0.3125,0.3125,19.875
24000,1.4201834,0.0002859003,0.4194817,0.24390243902439024,0.24390243902439024,23.390243902439025
25000,1.4201834,0.0002853003,0.386293,0.22,0.22,18.5
26000,1.4201834,0.00028470033,0.43733004,0.3148148148148148,0.3148148148148148,17.38888888888889
27000,1.4201834,0.0002841003,0.4217528,0.19607843137254902,0.19607843137254902,18.58823529411765
28000,1.4201834,0.00028350033,0.35270685,0.29545454545454547,0.29545454545454547,21.75
29000,1.4201834,0.00028290032,0.38117912,0.21568627450980393,0.21568627450980393,18.07843137254902
30000,1.4201834,0.00028230032,0.34006926,0.2765957446808511,0.2765957446808511,20.19148936170213
31000,1.4201834,0.0002817003,0.32589447,0.2608695652173913,0.2608695652173913,21.08695652173913
32000,1.4201834,0.00028110034,0.34655696,0.34545454545454546,0.34545454545454546,17.01818181818182
33000,1.4197432,0.00028050033,0.4129656,0.3269230769230769,0.3269230769230769,17.903846153846153
34000,1.41914,0.00027990033,0.29927093,0.2826086956521739,0.2826086956521739,20.782608695652176
35000,1.41914,0.00027930032,0.34874818,0.3137254901960784,0.3137254901960784,18.58823529411765
36000,1.41914,0.00027870035,0.32456282,0.37735849056603776,0.37735849056603776,17.37735849056604
37000,1.41914,0.0002781003,0.32122642,0.2916666666666667,0.2916666666666667,20.145833333333332
38000,1.41914,0.00027750034,0.3230967,0.37254901960784315,0.37254901960784315,17.941176470588236
39000,1.41914,0.00027690033,0.3277386,0.34615384615384615,0.34615384615384615,18.23076923076923
40000,1.41914,0.0002763003,0.3608851,0.3333333333333333,0.3333333333333333,16.719298245614034
41000,1.41914,0.00027570032,0.30717254,0.3333333333333333,0.3333333333333333,19.416666666666668
42000,1.41914,0.00027510032,0.39768946,0.2857142857142857,0.2857142857142857,22.88095238095238
43000,1.41914,0.00027450031,0.3610041,0.30434782608695654,0.30434782608695654,20.41304347826087
44000,1.4188815,0.00027390034,0.3078149,0.3125,0.3125,19.916666666666668
45000,1.4186598,0.0002733003,0.2878491,0.42,0.42,18.84
46000,1.4186598,0.0002727003,0.3200359,0.3333333333333333,0.3333333333333333,19.708333333333332
47000,1.4186598,0.00027210033,0.27129513,0.42,0.42,18.94
48000,1.4186598,0.00027150035,0.27649674,0.4444444444444444,0.4444444444444444,17.40740740740741
49000,1.4186598,0.00027090032,0.312988,0.4489795918367347,0.4489795918367347,19.244897959183675
50000,1.4186598,0.00027030034,0.28079087,0.4528301886792453,0.4528301886792453,17.867924528301888
51000,1.4186598,0.00026970034,0.3163054,0.35185185185185186,0.35185185185185186,17.27777777777778
52000,1.4186598,0.0002691003,0.28592676,0.46296296296296297,0.46296296296296297,17.203703703703702
53000,1.4186598,0.00026850033,0.28709057,0.42105263157894735,0.42105263157894735,16.45614035087719
54000,1.4186598,0.00026790032,0.31957087,0.38461538461538464,0.38461538461538464,18.23076923076923
55000,1.4181328,0.00026730032,0.28375083,0.4791666666666667,0.4791666666666667,19.958333333333332
56000,1.417873,0.0002667003,0.30767676,0.49019607843137253,0.49019607843137253,18.372549019607842
57000,1.417873,0.00026610034,0.3541463,0.543859649122807,0.543859649122807,16.43859649122807
58000,1.417873,0.0002655003,0.28945315,0.4489795918367347,0.4489795918367347,19.408163265306122
59000,1.417873,0.00026490033,0.31909764,0.5084745762711864,0.5084745762711864,15.76271186440678
60000,1.417873,0.00026430032,0.3297133,0.4426229508196721,0.4426229508196721,15.278688524590164
61000,1.417873,0.00026370035,0.2889273,0.40816326530612246,0.40816326530612246,18.755102040816325
62000,1.417873,0.00026310032,0.28971323,0.4642857142857143,0.4642857142857143,17.160714285714285
63000,1.417873,0.00026250034,0.31354597,0.46938775510204084,0.46938775510204084,18.979591836734695
64000,1.417873,0.00026190034,0.34761783,0.5892857142857143,0.5892857142857143,16.803571428571427
65000,1.417873,0.00026130033,0.33678472,0.5254237288135594,0.5254237288135594,15.898305084745763
66000,1.417114,0.00026070036,0.36826825,0.6557377049180327,0.6557377049180327,15.245901639344263
67000,1.4168556,0.00026010032,0.3944204,0.6557377049180327,0.6557377049180327,15.278688524590164
68000,1.4168556,0.00025950032,0.37776202,0.5967741935483871,0.5967741935483871,14.725806451612904
69000,1.4168556,0.00025890034,0.3844839,0.5901639344262295,0.5901639344262295,15.672131147540984
70000,1.4168556,0.0002583003,0.37345698,0.49122807017543857,0.49122807017543857,16.12280701754386
71000,1.4168556,0.00025770036,0.40502062,0.6226415094339622,0.6226415094339622,18.245283018867923
72000,1.4168556,0.00025710036,0.3862049,0.5555555555555556,0.5555555555555556,17.27777777777778
73000,1.4168556,0.00025650032,0.38971135,0.6610169491525424,0.6610169491525424,15.898305084745763
74000,1.4168556,0.00025590032,0.4212045,0.7551020408163265,0.7551020408163265,18.346938775510203
75000,1.4168556,0.00025530034,0.37580022,0.559322033898305,0.559322033898305,16.440677966101696
76000,1.4168556,0.00025470037,0.3865907,0.5671641791044776,0.5671641791044776,13.805970149253731
77000,1.4155143,0.00025410033,0.4314778,0.5892857142857143,0.5892857142857143,16.857142857142858
78000,1.4151471,0.00025350033,0.46309954,0.7288135593220338,0.7288135593220338,15.864406779661017
79000,1.4151471,0.00025290032,0.47656062,0.734375,0.734375,14.515625
80000,1.4151471,0.00025230032,0.47207454,0.631578947368421,0.631578947368421,16.42105263157895
81000,1.4151471,0.00025170034,0.48548836,0.7230769230769231,0.7230769230769231,14.292307692307693
82000,1.4151471,0.00025110034,0.43106568,0.6615384615384615,0.6615384615384615,13.892307692307693
83000,1.4151471,0.00025050034,0.45494756,0.6666666666666666,0.6666666666666666,21.466666666666665
84000,1.4151471,0.0002499003,0.46580508,0.7169811320754716,0.7169811320754716,17.92452830188679
85000,1.4151471,0.00024930036,0.4492489,0.6779661016949152,0.6779661016949152,15.76271186440678
86000,1.4151471,0.00024870032,0.47980228,0.6833333333333333,0.6833333333333333,15.55
87000,1.4151471,0.00024810035,0.46308142,0.676056338028169,0.676056338028169,12.95774647887324
88000,1.4140683,0.00024750034,0.535759,0.765625,0.765625,14.40625
89000,1.4138203,0.00024690034,0.5671139,0.7534246575342466,0.7534246575342466,12.232876712328768
90000,1.4138203,0.00024630033,0.5720843,0.8305084745762712,0.8305084745762712,16.372881355932204
